T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641991208.216045802s,1641991208.217269278s,1641991208.217309318s,1641991208.216762153s,0.001223s,-0.000547s,0.000338s,0.000885,0.003764686
1641991208.216762153s,1641991208.217987122s,1641991208.218020200s,1641991208.217496983s,0.001225s,-0.000523s,0.000351s,0.000874,0.003763744
1641991208.217496983s,1641991208.218719968s,1641991208.218753401s,1641991208.218247074s,0.001223s,-0.000506s,0.000358s,0.000865,0.003762785
1641991208.218247074s,1641991208.219485867s,1641991208.219523348s,1641991208.218990620s,0.001239s,-0.000533s,0.000353s,0.000886,0.003759199
1641991208.218990620s,1641991208.220295801s,1641991208.220326420s,1641991208.219778469s,0.001305s,-0.000548s,0.000379s,0.000927,0.003758287
1641991208.219778469s,1641991208.221025631s,1641991208.221055344s,1641991208.220556407s,0.001247s,-0.000499s,0.000374s,0.000873,0.003769436
1641991208.220556407s,1641991208.221850026s,1641991208.221924095s,1641991208.221423759s,0.001293s,-0.000500s,0.000397s,0.000897,0.003779609
1641991208.221423759s,1641991208.222709402s,1641991208.222746402s,1641991208.222233345s,0.001286s,-0.000513s,0.000386s,0.000899,0.003784924
1641991208.222233345s,1641991208.223503583s,1641991208.223514288s,1641991208.222988502s,0.001270s,-0.000526s,0.000372s,0.000898,0.003783505
1641991208.222988502s,1641991208.224151341s,1641991208.224152742s,1641991208.223685725s,0.001163s,-0.000467s,0.000348s,0.000815,0.003782853
1641991208.223685725s,1641991208.225019046s,1641991208.225053634s,1641991208.224536727s,0.001333s,-0.000517s,0.000408s,0.000925,0.003778215
1641991208.224536727s,1641991208.225831229s,1641991208.225833709s,1641991208.225299211s,0.001295s,-0.000535s,0.000380s,0.000915,0.003775203
1641991208.225299211s,1641991208.226554420s,1641991208.226556340s,1641991208.226008776s,0.001255s,-0.000547s,0.000354s,0.000901,0.003771469
1641991208.226008776s,1641991208.227267506s,1641991208.227271646s,1641991208.230702880s,0.001259s,0.003431s,0.002345s,-0.001086,0.00377035
1641991208.230702880s,1641991208.231954876s,1641991208.231957264s,1641991208.231418972s,0.001252s,-0.000538s,0.000357s,0.000895,0.003769106
1641991208.231418972s,1641991208.232670204s,1641991208.232672151s,1641991208.232118262s,0.001251s,-0.000554s,0.000349s,0.000903,0.003766823
1641991208.232118262s,1641991208.233362908s,1641991208.233364908s,1641991208.232819646s,0.001245s,-0.000545s,0.000350s,0.000895,0.003775578
