T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,OFF_S
1641512159.579533600s,1641512159.580801618s,1641512159.581125200s,1641512159.579951683s,0.001268s,-0.001173s,0.000047s,0.001221s
1641512159.580294868s,1641512159.581643405s,1641512159.581856108s,1641512159.580753055s,0.001348s,-0.001103s,0.000123s,0.001226s
1641512159.581093115s,1641512159.582440713s,1641512159.582647496s,1641512159.581476718s,0.001348s,-0.001171s,0.000088s,0.001259s
1641512159.581853081s,1641512159.583218181s,1641512159.583450371s,1641512159.582332675s,0.001365s,-0.001118s,0.000124s,0.001241s
1641512159.582722059s,1641512159.584081728s,1641512159.584327199s,1641512159.583204153s,0.001360s,-0.001123s,0.000118s,0.001241s
1641512159.583651507s,1641512159.585005467s,1641512159.585249914s,1641512159.584080684s,0.001354s,-0.001169s,0.000092s,0.001262s
1641512159.584511423s,1641512159.585866358s,1641512159.586184628s,1641512159.585078519s,0.001355s,-0.001106s,0.000124s,0.001231s
1641512159.585607594s,1641512159.586963312s,1641512159.587203631s,1641512159.586022916s,0.001356s,-0.001181s,0.000087s,0.001268s
1641512159.586603971s,1641512159.587967179s,1641512159.588219689s,1641512159.587056065s,0.001363s,-0.001163s,0.000100s,0.001263s
1641512159.587463209s,1641512159.588818054s,1641512159.589058981s,1641512159.587933793s,0.001355s,-0.001125s,0.000115s,0.001240s
1641512159.588375418s,1641512159.589730593s,1641512159.589965280s,1641512159.588838918s,0.001355s,-0.001127s,0.000114s,0.001241s
1641512159.589350648s,1641512159.590646876s,1641512159.591009978s,1641512159.589889359s,0.001296s,-0.001121s,0.000088s,0.001209s
1641512159.590332494s,1641512159.591686966s,1641512159.591928277s,1641512159.590801463s,0.001354s,-0.001127s,0.000114s,0.001241s
1641512159.591177305s,1641512159.592529778s,1641512159.592783376s,1641512159.591680702s,0.001353s,-0.001103s,0.000125s,0.001228s
1641512159.592055398s,1641512159.593421037s,1641512159.593910602s,1641512159.592734372s,0.001366s,-0.001176s,0.000095s,0.001271s
1641512159.593048233s,1641512159.594347304s,1641512159.594785061s,1641512159.593657101s,0.001299s,-0.001128s,0.000085s,0.001213s
1641512159.594023985s,1641512159.595406050s,1641512159.595941055s,1641512159.594814420s,0.001382s,-0.001127s,0.000128s,0.001254s
1641512159.595179428s,1641512159.596535772s,1641512159.596973721s,1641512159.595920695s,0.001356s,-0.001053s,0.000152s,0.001205s
1641512159.596292631s,1641512159.597618422s,1641512159.598052819s,1641512159.596995563s,0.001326s,-0.001057s,0.000134s,0.001191s
1641512159.597439219s,1641512159.598849295s,1641512159.599164589s,1641512159.598126162s,0.001410s,-0.001038s,0.000186s,0.001224s
1641512159.598532422s,1641512159.599884809s,1641512159.600192776s,1641512159.599024933s,0.001352s,-0.001168s,0.000092s,0.001260s
1641512159.599363951s,1641512159.600715173s,1641512159.600967524s,1641512159.599811357s,0.001351s,-0.001156s,0.000098s,0.001254s
1641512159.600189074s,1641512159.601544096s,1641512159.601783647s,1641512159.600648772s,0.001355s,-0.001135s,0.000110s,0.001245s
1641512159.601170868s,1641512159.602528571s,1641512159.602833145s,1641512159.601659368s,0.001358s,-0.001174s,0.000092s,0.001266s
1641512159.602190318s,1641512159.603545557s,1641512159.603780212s,1641512159.602681267s,0.001355s,-0.001099s,0.000128s,0.001227s
1641512159.602993670s,1641512159.604347345s,1641512159.604549008s,1641512159.603437847s,0.001354s,-0.001111s,0.000121s,0.001232s
1641512159.603727489s,1641512159.605081741s,1641512159.605311052s,1641512159.604208021s,0.001354s,-0.001103s,0.000126s,0.001229s
1641512159.604479121s,1641512159.605795305s,1641512159.606083176s,1641512159.604951631s,0.001316s,-0.001132s,0.000092s,0.001224s
1641512159.605172366s,1641512159.606454022s,1641512159.606772548s,1641512159.605582531s,0.001282s,-0.001190s,0.000046s,0.001236s
1641512159.605946810s,1641512159.607300769s,1641512159.607529856s,1641512159.606375362s,0.001354s,-0.001154s,0.000100s,0.001254s
1641512159.606742350s,1641512159.608097501s,1641512159.608327867s,1641512159.607145119s,0.001355s,-0.001183s,0.000086s,0.001269s
1641512159.607513773s,1641512159.608865688s,1641512159.609096855s,1641512159.607979930s,0.001352s,-0.001117s,0.000118s,0.001234s
1641512159.608343115s,1641512159.609691668s,1641512159.609936114s,1641512159.608745885s,0.001348s,-0.001190s,0.000079s,0.001269s
1641512159.609136936s,1641512159.610492239s,1641512159.610735246s,1641512159.609616218s,0.001355s,-0.001119s,0.000118s,0.001237s
1641512159.610002581s,1641512159.611355435s,1641512159.611653513s,1641512159.610524676s,0.001353s,-0.001129s,0.000112s,0.001241s
1641512159.610977968s,1641512159.612332933s,1641512159.612623236s,1641512159.611518032s,0.001355s,-0.001105s,0.000125s,0.001230s
1641512159.611938042s,1641512159.613286944s,1641512159.613610430s,1641512159.612431959s,0.001349s,-0.001179s,0.000085s,0.001264s
1641512159.612667485s,1641512159.613943165s,1641512159.614270491s,1641512159.613181768s,0.001276s,-0.001089s,0.000093s,0.001182s
1641512159.613452399s,1641512159.614805848s,1641512159.615059094s,1641512159.613946369s,0.001354s,-0.001113s,0.000120s,0.001233s
1641512159.614233563s,1641512159.615576212s,1641512159.615766579s,1641512159.614620707s,0.001343s,-0.001146s,0.000098s,0.001244s
1641512159.614906443s,1641512159.616265168s,1641512159.616576334s,1641512159.615394944s,0.001359s,-0.001182s,0.000088s,0.001270s
1641512159.615673596s,1641512159.617024716s,1641512159.617249194s,1641512159.616053084s,0.001351s,-0.001196s,0.000077s,0.001274s
1641512159.616333820s,1641512159.617684328s,1641512159.617907655s,1641512159.616711537s,0.001351s,-0.001196s,0.000077s,0.001273s
1641512159.617003522s,1641512159.618284133s,1641512159.618582947s,1641512159.617471502s,0.001281s,-0.001112s,0.000085s,0.001196s
1641512159.617753852s,1641512159.619106080s,1641512159.619330975s,1641512159.618181727s,0.001352s,-0.001149s,0.000102s,0.001251s
1641512159.618459754s,1641512159.619806748s,1641512159.620027643s,1641512159.618921900s,0.001347s,-0.001106s,0.000121s,0.001226s
1641512159.619208156s,1641512159.620550072s,1641512159.620896214s,1641512159.619719991s,0.001342s,-0.001176s,0.000083s,0.001259s
1641512159.619997602s,1641512159.621344852s,1641512159.621570067s,1641512159.620378496s,0.001347s,-0.001192s,0.000078s,0.001269s
1641512159.620706264s,1641512159.622053520s,1641512159.622287087s,1641512159.621157420s,0.001347s,-0.001130s,0.000109s,0.001238s
1641512159.621371018s,1641512159.622641357s,1641512159.622936875s,1641512159.621785351s,0.001270s,-0.001152s,0.000059s,0.001211s
1641512159.622083222s,1641512159.623430057s,1641512159.623651687s,1641512159.622515472s,0.001347s,-0.001136s,0.000105s,0.001242s
1641512159.622824281s,1641512159.624168901s,1641512159.624355236s,1641512159.623178352s,0.001345s,-0.001177s,0.000084s,0.001261s
1641512159.623484348s,1641512159.624831009s,1641512159.625024288s,1641512159.623865138s,0.001347s,-0.001159s,0.000094s,0.001253s
1641512159.624153634s,1641512159.625499517s,1641512159.625698588s,1641512159.624514684s,0.001346s,-0.001184s,0.000081s,0.001265s
1641512159.624838025s,1641512159.626186298s,1641512159.626414872s,1641512159.625264389s,0.001348s,-0.001150s,0.000099s,0.001249s
1641512159.625629293s,1641512159.626977013s,1641512159.627195508s,1641512159.626003625s,0.001348s,-0.001192s,0.000078s,0.001270s
1641512159.626520668s,1641512159.627866800s,1641512159.628100239s,1641512159.626918437s,0.001346s,-0.001182s,0.000082s,0.001264s
1641512159.627206257s,1641512159.628560013s,1641512159.628792779s,1641512159.627659965s,0.001354s,-0.001133s,0.000111s,0.001243s
1641512159.627961691s,1641512159.629313352s,1641512159.629521927s,1641512159.628339720s,0.001352s,-0.001182s,0.000085s,0.001267s
1641512159.628917910s,1641512159.630203076s,1641512159.630585281s,1641512159.629477038s,0.001285s,-0.001108s,0.000088s,0.001197s
1641512159.629790378s,1641512159.631144446s,1641512159.631394653s,1641512159.630235180s,0.001354s,-0.001159s,0.000097s,0.001257s
1641512159.630547583s,1641512159.631908634s,1641512159.632273848s,1641512159.631101138s,0.001361s,-0.001173s,0.000094s,0.001267s
1641512159.631488699s,1641512159.632844181s,1641512159.633095764s,1641512159.631982616s,0.001355s,-0.001113s,0.000121s,0.001234s
1641512159.632361531s,1641512159.633716784s,1641512159.633953583s,1641512159.632847271s,0.001355s,-0.001106s,0.000125s,0.001231s
1641512159.633344366s,1641512159.634697867s,1641512159.634936490s,1641512159.633814273s,0.001354s,-0.001122s,0.000116s,0.001238s
1641512159.634321628s,1641512159.635678534s,1641512159.635919108s,1641512159.634779399s,0.001357s,-0.001140s,0.000109s,0.001248s
1641512159.635177273s,1641512159.636531617s,1641512159.636856735s,1641512159.635714681s,0.001354s,-0.001142s,0.000106s,0.001248s
