T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641992398.942911304s,1641992398.943383187s,1641992398.943443561s,1641992398.943797954s,0.000472s,0.000355s,0.000413s,0.000059,0.002999835
1641992398.943797954s,1641992398.944289558s,1641992398.944368014s,1641992398.944662387s,0.000491s,0.000294s,0.000393s,0.000099,0.002998839
1641992398.944662387s,1641992398.945398447s,1641992398.945420364s,1641992398.948744298s,0.000736s,0.003324s,0.002030s,-0.001294,0.002997395
1641992398.948744298s,1641992398.949241534s,1641992398.949263557s,1641992398.949602854s,0.000497s,0.000339s,0.000418s,0.000079,0.002997157
1641992398.949602854s,1641992398.950333728s,1641992398.950355511s,1641992398.950652723s,0.000731s,0.000297s,0.000514s,0.000217,0.002996606
1641992398.950652723s,1641992398.951070312s,1641992398.951096683s,1641992398.951400158s,0.000417s,0.000303s,0.000360s,0.000057,0.002995638
1641992398.951400158s,1641992398.951858460s,1641992398.951904825s,1641992398.952196450s,0.000458s,0.000292s,0.000375s,0.000083,0.002996008
1641992398.952196450s,1641992398.952674083s,1641992398.952723329s,1641992398.953024197s,0.000478s,0.000301s,0.000389s,0.000088,0.00299574
1641992398.953024197s,1641992398.953485589s,1641992398.953511409s,1641992398.953810870s,0.000461s,0.000299s,0.000380s,0.000081,0.002995035
1641992398.953810870s,1641992398.954283133s,1641992398.954302302s,1641992398.958001033s,0.000472s,0.003699s,0.002086s,-0.001613,0.002993313
1641992398.958001033s,1641992398.958467622s,1641992398.958501928s,1641992398.958819235s,0.000467s,0.000317s,0.000392s,0.000075,0.002986152
1641992398.958819235s,1641992398.959289027s,1641992398.959311106s,1641992398.959588697s,0.000470s,0.000278s,0.000374s,0.000096,0.002985014
1641992398.959588697s,1641992398.960010117s,1641992398.960055710s,1641992398.960390483s,0.000421s,0.000335s,0.000378s,0.000043,0.002983781
1641992398.960390483s,1641992398.960875843s,1641992398.960898884s,1641992398.961207996s,0.000485s,0.000309s,0.000397s,0.000088,0.002981995
1641992398.961207996s,1641992398.961696210s,1641992398.961739988s,1641992398.962037627s,0.000488s,0.000298s,0.000393s,0.000095,0.002980175
1641992398.962037627s,1641992398.962576152s,1641992398.962661506s,1641992398.962981005s,0.000539s,0.000319s,0.000429s,0.00011,0.002979343
1641992398.962981005s,1641992398.963527521s,1641992398.963560516s,1641992398.963861263s,0.000546s,0.000301s,0.000424s,0.000123,0.002978484
1641992398.963861263s,1641992398.964323346s,1641992398.964343046s,1641992398.964650707s,0.000462s,0.000308s,0.000385s,0.000077,0.00297809
1641992398.964650707s,1641992398.965114516s,1641992398.965157850s,1641992398.966637759s,0.000464s,0.001480s,0.000972s,-0.000508,0.002977297
1641992398.966637759s,1641992398.967109826s,1641992398.967156146s,1641992398.967454031s,0.000472s,0.000298s,0.000385s,0.000087,0.002976623
1641992398.967454031s,1641992398.968012840s,1641992398.968034752s,1641992398.968326194s,0.000559s,0.000291s,0.000425s,0.000134,0.002975778
1641992398.968326194s,1641992398.968643675s,1641992398.968672249s,1641992398.969017618s,0.000318s,0.000345s,0.000331s,-0.000014,0.002975591
1641992398.969017618s,1641992398.969446902s,1641992398.969467199s,1641992398.969756746s,0.000429s,0.000290s,0.000360s,0.00007,0.002974307
1641992398.969756746s,1641992398.970176834s,1641992398.970199881s,1641992398.970555386s,0.000420s,0.000355s,0.000388s,0.000032,0.002973925
1641992398.970555386s,1641992398.970970191s,1641992398.970992192s,1641992398.971289887s,0.000415s,0.000298s,0.000356s,0.000059,0.002975645
1641992398.971289887s,1641992398.971743186s,1641992398.971764083s,1641992398.972087381s,0.000453s,0.000323s,0.000388s,0.000065,0.002970733
1641992398.972087381s,1641992398.972503774s,1641992398.972523997s,1641992398.978001013s,0.000416s,0.005477s,0.002947s,-0.00253,0.002969872
1641992398.978001013s,1641992398.978439009s,1641992398.978460262s,1641992398.978730410s,0.000438s,0.000270s,0.000354s,0.000084,0.00296889
1641992398.978730410s,1641992398.979153678s,1641992398.979181173s,1641992398.979449410s,0.000423s,0.000268s,0.000346s,0.000077,0.002967605
1641992398.979449410s,1641992398.979865589s,1641992398.979888527s,1641992398.980176899s,0.000416s,0.000288s,0.000352s,0.000064,0.00296668
1641992398.980176899s,1641992398.980618589s,1641992398.980641792s,1641992398.980941119s,0.000442s,0.000299s,0.000370s,0.000071,0.002966039
1641992398.980941119s,1641992398.981382847s,1641992398.981404858s,1641992398.981936023s,0.000442s,0.000531s,0.000486s,-0.000045,0.002965534
1641992398.981936023s,1641992398.982365152s,1641992398.982384772s,1641992398.982697293s,0.000429s,0.000313s,0.000371s,0.000058,0.002964289
1641992398.982697293s,1641992398.983148472s,1641992398.983172000s,1641992398.983470035s,0.000451s,0.000298s,0.000375s,0.000077,0.002962767
1641992398.983470035s,1641992398.983885234s,1641992398.983913163s,1641992398.986107140s,0.000415s,0.002194s,0.001305s,-0.000889,0.00296191
1641992398.986107140s,1641992398.986607543s,1641992398.986612163s,1641992398.986894140s,0.000500s,0.000282s,0.000391s,0.000109,0.002961472
1641992398.986894140s,1641992398.987326340s,1641992398.987347123s,1641992398.987662612s,0.000432s,0.000315s,0.000374s,0.000058,0.002961047
1641992398.987662612s,1641992398.988156379s,1641992398.988174714s,1641992398.988461075s,0.000494s,0.000286s,0.000390s,0.000104,0.002959816
1641992398.988461075s,1641992398.988883679s,1641992398.988905769s,1641992398.989168412s,0.000423s,0.000263s,0.000343s,0.00008,0.002958934
1641992398.989168412s,1641992398.989583330s,1641992398.989606342s,1641992398.989912404s,0.000415s,0.000306s,0.000360s,0.000054,0.002957562
1641992398.989912404s,1641992398.990334902s,1641992398.990356163s,1641992398.990632433s,0.000422s,0.000276s,0.000349s,0.000073,0.002956177
1641992398.990632433s,1641992398.991104196s,1641992398.991133454s,1641992398.991408720s,0.000472s,0.000275s,0.000373s,0.000098,0.002964987
1641992398.991408720s,1641992398.991807281s,1641992398.991835905s,1641992398.992124999s,0.000398s,0.000289s,0.000344s,0.000055,0.002965479
