T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641990854.213819621s,1641990854.204071318s,1641990854.204090006s,1641990854.214569517s,-0.009748s,0.010479s,0.000366s,-0.010114,-0.007071251
1641990854.214569517s,1641990854.204840035s,1641990854.204875075s,1641990854.215375331s,-0.009730s,0.010500s,0.000385s,-0.010115,-0.007073626
1641990854.215375331s,1641990854.205646513s,1641990854.205668237s,1641990854.216122061s,-0.009729s,0.010454s,0.000363s,-0.010091,-0.007075492
1641990854.216122061s,1641990854.206376872s,1641990854.206399976s,1641990854.216889844s,-0.009745s,0.010490s,0.000372s,-0.010118,-0.007077423
1641990854.216889844s,1641990854.207163560s,1641990854.207165565s,1641990854.217617978s,-0.009726s,0.010453s,0.000363s,-0.010089,-0.007079013
1641990854.217617978s,1641990854.207866735s,1641990854.207889525s,1641990854.218329034s,-0.009751s,0.010439s,0.000344s,-0.010095,-0.007081305
1641990854.218329034s,1641990854.208583865s,1641990854.208604839s,1641990854.220976832s,-0.009745s,0.012372s,0.001313s,-0.011059,-0.007082882
1641990854.220976832s,1641990854.211251223s,1641990854.211287283s,1641990854.221737653s,-0.009726s,0.010450s,0.000362s,-0.010088,-0.007084943
1641990854.221737653s,1641990854.212006499s,1641990854.212025127s,1641990854.222566912s,-0.009731s,0.010542s,0.000405s,-0.010136,-0.007086424
1641990854.222566912s,1641990854.212833761s,1641990854.212860960s,1641990854.223339929s,-0.009733s,0.010479s,0.000373s,-0.010106,-0.00708728
1641990854.223339929s,1641990854.213602618s,1641990854.213623897s,1641990854.224095373s,-0.009737s,0.010471s,0.000367s,-0.010104,-0.007088419
1641990854.224095373s,1641990854.214338724s,1641990854.214365076s,1641990854.225138752s,-0.009757s,0.010774s,0.000509s,-0.010265,-0.007089613
1641990854.225138752s,1641990854.215438204s,1641990854.215461969s,1641990854.226122502s,-0.009701s,0.010661s,0.000480s,-0.010181,-0.00709103
1641990854.226122502s,1641990854.216403651s,1641990854.216460065s,1641990854.227118282s,-0.009719s,0.010658s,0.000470s,-0.010189,-0.007092212
1641990854.227118282s,1641990854.217384229s,1641990854.217406342s,1641990854.228090560s,-0.009734s,0.010684s,0.000475s,-0.010209,-0.007094316
1641990854.228090560s,1641990854.218367828s,1641990854.218393654s,1641990854.229319621s,-0.009723s,0.010926s,0.000602s,-0.010324,-0.007095594
1641990854.229319621s,1641990854.219601406s,1641990854.219604188s,1641990854.231022161s,-0.009718s,0.011418s,0.000850s,-0.010568,-0.007097112
1641990854.231022161s,1641990854.221300414s,1641990854.221311783s,1641990854.231739814s,-0.009722s,0.010428s,0.000353s,-0.010075,-0.007099343
1641990854.231739814s,1641990854.222006839s,1641990854.222008881s,1641990854.232436584s,-0.009733s,0.010428s,0.000347s,-0.01008,-0.00710101
1641990854.232436584s,1641990854.222700940s,1641990854.222710258s,1641990854.233144337s,-0.009736s,0.010434s,0.000349s,-0.010085,-0.007102444
1641990854.233144337s,1641990854.223382996s,1641990854.223385242s,1641990854.233826044s,-0.009761s,0.010441s,0.000340s,-0.010101,-0.007104577
1641990854.233826044s,1641990854.224075970s,1641990854.224078037s,1641990854.234538732s,-0.009750s,0.010461s,0.000355s,-0.010105,-0.007105165
1641990854.234538732s,1641990854.224752663s,1641990854.224778718s,1641990854.235254259s,-0.009786s,0.010476s,0.000345s,-0.010131,-0.007106076
1641990854.235254259s,1641990854.225421010s,1641990854.225446458s,1641990854.236120713s,-0.009833s,0.010674s,0.000420s,-0.010254,-0.007107259
1641990854.236120713s,1641990854.226434035s,1641990854.226456985s,1641990854.236924201s,-0.009687s,0.010467s,0.000390s,-0.010077,-0.007109049
1641990854.236924201s,1641990854.227194108s,1641990854.227230545s,1641990854.237656719s,-0.009730s,0.010426s,0.000348s,-0.010078,-0.007110297
1641990854.237656719s,1641990854.227897218s,1641990854.227942856s,1641990854.238386461s,-0.009760s,0.010443s,0.000342s,-0.010102,-0.007110733
1641990854.238386461s,1641990854.228650858s,1641990854.228677523s,1641990854.239108053s,-0.009736s,0.010431s,0.000347s,-0.010083,-0.007111331
1641990854.239108053s,1641990854.229351849s,1641990854.229377197s,1641990854.239817533s,-0.009756s,0.010440s,0.000342s,-0.010098,-0.0071124
1641990854.239817533s,1641990854.230062469s,1641990854.230088393s,1641990854.240523045s,-0.009755s,0.010435s,0.000340s,-0.010095,-0.007113348
1641990854.240523045s,1641990854.230625659s,1641990854.230652212s,1641990854.241142952s,-0.009897s,0.010491s,0.000297s,-0.010194,-0.007115121
1641990854.241142952s,1641990854.231388478s,1641990854.231414666s,1641990854.241892456s,-0.009754s,0.010478s,0.000362s,-0.010116,-0.00711665
1641990854.241892456s,1641990854.232141434s,1641990854.232177976s,1641990854.242690849s,-0.009751s,0.010513s,0.000381s,-0.010132,-0.007118167
1641990854.242690849s,1641990854.232947910s,1641990854.232973904s,1641990854.243440818s,-0.009743s,0.010467s,0.000362s,-0.010105,-0.007119552
1641990854.243440818s,1641990854.233618461s,1641990854.233643471s,1641990854.244160682s,-0.009822s,0.010517s,0.000347s,-0.01017,-0.007121348
