quic,OFF_S
0.010362864,0.010852s
0.013575792,0.010834s
0.014175177,0.010831s
0.010341763,0.010848s
0.013020635,0.010838s
0.013394833,0.010838s
0.010162234,0.010841s
0.013592243,0.010839s
0.013337731,0.010844s
0.01317215,0.010874s
0.010256052,0.010846s
0.010944247,0.010851s
0.012393713,0.010850s
0.013345003,0.010832s
0.013685584,0.010884s
0.01368916,0.010847s
0.01396811,0.010816s
0.014225721,0.010866s
0.013330936,0.010859s
0.013738394,0.010847s
0.010522485,0.010864s
0.014238358,0.010839s
0.013870239,0.010851s
0.013424993,0.010855s
0.010725021,0.010847s
0.014202476,0.010840s
0.013706565,0.010826s
0.010204434,0.010836s
0.013368607,0.010836s
0.010100961,0.010834s
0.012607932,0.010851s
0.013156295,0.010824s
0.011917114,0.010836s
0.013631463,0.010839s
0.013432145,0.010828s
0.013863444,0.010871s
0.010290623,0.010832s
0.013129115,0.010831s
0.013421893,0.010848s
0.013638973,0.010825s
0.010283113,0.010841s
0.014497042,0.010830s
0.010286689,0.010862s
0.010172129,0.010865s
0.01486218,0.010840s
0.013632894,0.010833s
0.014877677,0.010852s
0.010486841,0.010823s
0.013544083,0.010853s
0.010354161,0.010846s
0.014296055,0.010856s
0.010325789,0.010830s
0.014047265,0.010833s
0.01304698,0.010833s
0.014161468,0.010871s
0.014397621,0.010870s
0.004170537,0.010833s
0.014045238,0.010856s
0.009987116,0.010845s
0.013357878,0.010844s
0.01002872,0.010830s
0.012726665,0.010864s
0.010110855,0.010873s
0.014816642,0.010841s
0.012244344,0.010828s
0.013552904,0.010876s
0.013555884,0.010846s
0.010097265,0.010844s
0.016547084,0.010824s
0.010218143,0.010851s
0.013617754,0.010862s
0.013756394,0.010866s
0.013602257,0.010855s
0.012132168,0.010825s
0.013428926,0.010857s
0.013532758,0.010873s
0.011291981,0.010845s
0.01401329,0.010813s
0.009977818,0.010813s
0.014867187,0.010853s
0.014524221,0.010833s
0.01441884,0.010809s
0.014270425,0.010840s
0.01035428,0.010832s
0.014860392,0.010827s
0.010319948,0.010815s
0.013016343,0.010794s
0.011559486,0.010791s
0.015885711,0.010847s
0.013545752,0.010835s
0.010908246,0.010825s
0.015207052,0.010811s
0.016235828,0.010807s
0.014506817,0.010840s
0.014189482,0.010826s
0.014364958,0.010855s
0.010517597,0.010864s
0.014914036,0.010842s
0.010212541,0.010844s
0.010731936,0.010844s
0.015401244,0.010848s
0.014428258,0.010802s
0.010258317,0.010856s
0.013980865,0.010832s
0.010479331,0.010834s
0.014810562,0.010862s
0.013482213,0.010836s
0.013448238,0.010836s
0.013638377,0.010808s
0.013370395,0.010808s
0.010224342,0.010810s
0.013911963,0.010804s
0.013816237,0.010827s
0.012812614,0.010834s
0.011446476,0.010822s
0.012297153,0.010834s
0.010576606,0.010842s
0.013432384,0.010803s
0.0120579,0.010830s
0.014206052,0.010828s
0.010646701,0.010864s
0.013343334,0.010835s
0.013837695,0.010838s
0.013603091,0.010826s
0.010846376,0.010836s
0.014599681,0.010847s
0.014835358,0.010862s
0.010058403,0.010861s
0.013459444,0.010822s
0.00997889,0.010831s
0.012683153,0.010843s
0.013793945,0.010845s
0.014292717,0.010846s
0.010530829,0.010805s
0.012506127,0.010832s
0.014801741,0.010843s
0.013965607,0.010805s
0.01203537,0.010850s
0.010632396,0.010837s
0.013631105,0.010841s
0.01384604,0.010788s
0.014192343,0.010867s
0.01039505,0.010831s
0.012595773,0.010842s
0.013719201,0.010833s
0.013442397,0.010825s
0.010475636,0.010830s
0.013601542,0.010811s
0.01071322,0.010798s
0.014344454,0.010806s
0.013705611,0.010857s
0.013960838,0.010869s
0.013996124,0.010862s
0.014037132,0.010848s
0.015658259,0.010839s
,0.010821s
