Index,OFF_S,quic 
748,0.001229s,0.004325032
749,0.001215s,0.004753351
750,0.001196s,0.000543714
751,0.001228s,0.000745535
752,0.001256s,-1.55E-06
753,0.001234s,0.003864527
754,0.001215s,0.004131794
755,0.001213s,0.00394237
756,0.001228s,0.003986716
757,0.001243s,0.003804445
758,0.001260s,0.003763199
759,0.001228s,0.004463553
760,0.001225s,0.003849626
761,0.001210s,0.003621101
762,0.001251s,0.004118443
763,0.001219s,0.003253698
764,0.001197s,0.004482031
765,0.001244s,0.002833486
766,0.001211s,0.004447103
767,0.001230s,0.00358367
768,0.001246s,0.004732728
769,0.001212s,0.004101157
770,0.001229s,0.000736833
771,0.001234s,0.0044384
772,0.001226s,0.003107667
773,0.001221s,0.003324032
774,0.001236s,0.000938058
775,0.001236s,0.003663182
776,0.001236s,0.004553795
777,0.001225s,0.004098654
778,0.001235s,0.004393578
779,0.001224s,0.004418969
780,0.001237s,9.61E-05
781,0.001227s,0.003894329
782,0.001232s,0.004513741
783,0.001260s,0.00264895
784,0.001220s,0.001743555
785,0.001216s,0.003514886
786,0.001233s,0.004159212
787,0.001212s,0.003644824
788,0.001258s,0.003575206
789,0.001195s,-8.11E-05
790,0.001271s,0.001318932
791,0.001231s,0.004556179
792,0.001204s,0.004265547
793,0.001195s,0.003803253
794,0.001235s,0.000316024
795,0.001235s,0.003942251
796,0.001189s,0.003801346
797,0.001220s,0.004101753
798,0.001258s,0.004299641
799,0.001258s,0.003809452
800,0.001198s,0.003521919
801,0.001222s,0.003534436
802,0.001233s,0.003893852
803,0.001220s,0.004549623
804,0.001215s,0.003923178
805,0.001229s,0.003885031
806,0.001209s,0.00416255
807,0.001275s,0.00363934
808,0.001263s,0.004790425
809,0.001229s,0.004598737
810,0.001211s,0.00363791
811,0.001221s,0.004864454
812,0.001230s,0.004056334
813,0.001220s,0.00368309
814,0.001233s,0.003407717
815,0.001230s,0.003576159
816,0.001243s,0.003610015
817,0.001260s,0.00387454
818,0.001260s,0.003882051
819,0.001230s,0.004541159
820,0.001266s,0.003873467
821,0.001244s,0.004364491
822,0.001225s,0.003752112
823,0.001243s,0.004495978
824,0.001207s,0.004098177
825,0.001230s,0.003195643
826,0.001240s,0.003742933
827,0.001240s,0.004449725
828,0.001230s,0.000404
829,0.001199s,0.000908852
830,0.001203s,0.006266832
831,0.001271s,0.001044631
832,0.001243s,0.003844857
833,0.001259s,0.0020895
834,0.001198s,0.005175829
835,0.001265s,0.003967524
836,0.001253s,0.003866553
837,0.001212s,0.003829956
838,0.001199s,0.004538894
839,0.001238s,0.004517436
840,0.001260s,0.000347614
841,0.001234s,0.0044806
842,0.001266s,0.004776239
843,0.001246s,0.003631353
844,0.001239s,0.003926158
845,0.001249s,0.005740166
846,0.001264s,0.005505085
847,0.001262s,0.000125289
848,0.001274s,0.001839757
849,0.001253s,0.004460096
850,0.001255s,0.003166676
851,0.001218s,0.003481865
852,0.001223s,0.004744172
853,0.001217s,0.003326774
854,0.001226s,0.000595808
855,0.001240s,0.005567789
856,0.001219s,0.000454426
857,0.001222s,0.002267957
858,0.001204s,0.004909396
859,0.001211s,0.004329443
860,0.001229s,-3.53E-05
861,0.001201s,0.000496149
862,0.001201s,0.004814506
863,0.001198s,0.000582695
864,0.001198s,0.00382328
865,0.001200s,0.00067234
866,0.001234s,0.005621076
867,0.001193s,0.003850341
868,0.001201s,0.004058242
869,0.001198s,0.004599333
870,0.001197s,0.004086614
871,0.001249s,0.003847837
872,0.001198s,0.003895402
873,0.001203s,0.004596472
874,0.001197s,0.003296614
875,0.001201s,0.004573226
876,0.001199s,0.004710555
877,0.001268s,0.001077414
878,0.001198s,0.003888249
879,0.001202s,0.003844142
880,0.001191s,0.004586101
881,0.001194s,0.00047338
882,0.001198s,0.00254941
883,0.001200s,0.000423551
884,0.001199s,0.006173134
885,0.001201s,0.005780101
886,0.001199s,0.004237771
887,0.001246s,0.005089283
888,0.001191s,0.00490129
889,0.001206s,0.004517794
890,0.001197s,0.005608916
891,0.001190s,0.001436114
892,0.001209s,0.000890493
893,0.001194s,0.001076818
894,0.001248s,0.004470468
895,0.001198s,0.004789829
896,0.001206s,0.000694275
897,0.001200s,0.004613161
898,0.001211s,0.005002975
899,0.001229s,0.004270673
900,0.001198s,0.004299998
901,0.001192s,0.003996015
902,0.001194s,0.005045772
903,0.001235s,0.005138874
904,0.001188s,0.004480124
905,0.001195s,0.003857732
906,0.001205s,0.006232142
907,0.001228s,0.004996657
908,0.001217s,0.001634598
909,0.001207s,0.00117898
910,0.001250s,0.002855897
911,0.001199s,0.004436493
912,0.001191s,0.005037785
913,0.001191s,0.004711986
914,0.001198s,0.004624248
915,0.001199s,0.002607346
916,0.001231s,0.001292467
917,0.001194s,0.006191373
918,0.001266s,0.004728079
919,0.001228s,0.004420519
920,0.001207s,0.004937053
921,0.001208s,-7.80E-05
922,0.001207s,0.002153993
923,0.001200s,0.00508821
924,0.001215s,0.003627777
925,0.001205s,0.004426837
